"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\ferna\development\flutter\gymapp\lib\firebase\app_state.dart", "Dart", 74, 1, 6, 81
"c:\Users\ferna\development\flutter\gymapp\lib\firebase\gyms\messagedata.dart", "Dart", 28, 0, 1, 29
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\gym_view.dart", "Dart", -93, 0, -4, -97
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\gymmenu.dart", "Dart", 86, 0, 4, 90
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\chat\my_chats.dart", "Dart", 59, 0, 4, 63
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\chat\widgets\chat_page.dart", "Dart", 96, 2, 6, 104
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\chat\widgets\chat_tile.dart", "Dart", 38, 0, 2, 40
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\chat\widgets\messagecard.dart", "Dart", 90, 0, 4, 94
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\chat\widgets\messagetyper.dart", "Dart", 66, 0, 5, 71
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\exercise_demos\demodata.dart", "Dart", 44, 0, 1, 45
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\exercise_demos\exercisedemo.dart", "Dart", 39, 0, 4, 43
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\exercise_demos\exercisedemos.dart", "Dart", 88, 0, 5, 93
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\exercise_demos\interfaces\demomaker.dart", "Dart", 156, 0, 5, 161
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\exercise_demos\interfaces\extraadvice.dart", "Dart", 45, 0, 3, 48
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\exercise_demos\interfaces\video_viewer.dart", "Dart", 61, 0, 6, 67
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\exercise_demos\interfaces\videopickfield.dart", "Dart", 143, 0, 10, 153
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\exercise_demos\interfaces\widgets\tag.dart", "Dart", 41, 0, 3, 44
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\exercise_demos\interfaces\widgets\videoprogressbar.dart", "Dart", 106, 0, 4, 110
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\exercise_demos\interfaces\workareasfield.dart", "Dart", 101, 0, 4, 105
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\exercise_demos\viewdemodetails.dart", "Dart", 76, 0, 3, 79
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\info\gyminfo.dart", "Dart", 75, 0, 3, 78
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\optionsbutton.dart", "Dart", -20, 0, -3, -23
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\pages\chat\chattile.dart", "Dart", -12, 0, -4, -16
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\pages\chat\mychats.dart", "Dart", -21, 0, -4, -25
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\pages\exercise_demos\demodata.dart", "Dart", -44, 0, -1, -45
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\pages\exercise_demos\exercisedemo.dart", "Dart", -39, 0, -4, -43
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\pages\exercise_demos\exercisedemos.dart", "Dart", -85, 0, -5, -90
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\pages\exercise_demos\interfaces\demomaker.dart", "Dart", -156, 0, -5, -161
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\pages\exercise_demos\interfaces\extraadvice.dart", "Dart", -45, 0, -3, -48
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\pages\exercise_demos\interfaces\video_viewer.dart", "Dart", -61, 0, -6, -67
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\pages\exercise_demos\interfaces\videopickfield.dart", "Dart", -143, 0, -10, -153
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\pages\exercise_demos\interfaces\widgets\tag.dart", "Dart", -41, 0, -3, -44
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\pages\exercise_demos\interfaces\widgets\videoprogressbar.dart", "Dart", -106, 0, -4, -110
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\pages\exercise_demos\interfaces\workareasfield.dart", "Dart", -101, 0, -4, -105
