"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\pages\exercise_demos\interfaces\videopickfield.dart", "Dart", 143, 0, 10, 153
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\pages\exercise_demos\interfaces\widgets\tag.dart", "Dart", 41, 0, 3, 44
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\pages\exercise_demos\interfaces\widgets\videoprogressbar.dart", "Dart", 106, 0, 4, 110
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\pages\exercise_demos\interfaces\workareasfield.dart", "Dart", 101, 0, 4, 105
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\pages\exercise_demos\viewdemodetails.dart", "Dart", 76, 0, 3, 79
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\pages\gymmenu.dart", "Dart", 86, 0, 4, 90
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\pages\info\gyminfo.dart", "Dart", 74, 0, 3, 77
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\join_gym\gymjoinsheet.dart", "Dart", 94, 0, 4, 98
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\join_gym\join_gym.dart", "Dart", 77, 0, 4, 81
"c:\Users\ferna\development\flutter\gymapp\lib\pages\home_page\homepage.dart", "Dart", 18, 0, 4, 22
"c:\Users\ferna\development\flutter\gymapp\lib\widgets\crawltext.dart", "Dart", 51, 0, 6, 57
"c:\Users\ferna\development\flutter\gymapp\lib\widgets\infobutton.dart", "Dart", 34, 0, 3, 37
"Total", "-", 3539, 23, 220, 3782
