"filename", "language", "YAML", "XML", "Gradle", "Properties", "C++", "Markdown", "JSON", "Swift", "HTML", "Java", "comment", "blank", "total"
"c:\Users\ferna\development\flutter\gymapp\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 4, 5, 30
"c:\Users\ferna\development\flutter\gymapp\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\ferna\development\flutter\gymapp\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\ferna\development\flutter\gymapp\windows\runner\flutter_window.h", "C++", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\ferna\development\flutter\gymapp\windows\runner\main.cpp", "C++", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\ferna\development\flutter\gymapp\windows\runner\resource.h", "C++", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\ferna\development\flutter\gymapp\windows\runner\utils.cpp", "C++", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\ferna\development\flutter\gymapp\windows\runner\utils.h", "C++", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\ferna\development\flutter\gymapp\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\ferna\development\flutter\gymapp\windows\runner\win32_window.h", "C++", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 35, 464, 94, 8, 557, 5, 262, 64, 38, 13, 285, 275, 2100
